method,size,range,distribution,ordered,time
quickSort,1000000,10000,uniform,True,1.5168464183807373
mergeSort,1000000,10000,uniform,True,2.198899269104004
binarySort,1000000,10000,uniform,True,0.6199922561645508
quickSort,2000000,10000,uniform,True,3.566241502761841
mergeSort,2000000,10000,uniform,True,4.662154912948608
binarySort,2000000,10000,uniform,True,1.415400505065918
quickSort,3000000,10000,uniform,True,5.553562879562378
mergeSort,3000000,10000,uniform,True,7.3666088581085205
binarySort,3000000,10000,uniform,True,2.147679090499878
quickSort,4000000,10000,uniform,True,8.01436972618103
mergeSort,4000000,10000,uniform,True,10.012731552124023
binarySort,4000000,10000,uniform,True,2.823348045349121
quickSort,5000000,10000,uniform,True,10.086558818817139
mergeSort,5000000,10000,uniform,True,15.76128363609314
binarySort,5000000,10000,uniform,True,4.591347932815552
quickSort,6000000,10000,uniform,True,13.342918395996094
mergeSort,6000000,10000,uniform,True,16.758026361465454
binarySort,6000000,10000,uniform,True,4.662837505340576
quickSort,7000000,10000,uniform,True,16.02847981452942
mergeSort,7000000,10000,uniform,True,19.82423448562622
binarySort,7000000,10000,uniform,True,5.398648738861084
quickSort,8000000,10000,uniform,True,21.519330501556396
mergeSort,8000000,10000,uniform,True,25.53099489212036
binarySort,8000000,10000,uniform,True,6.383145332336426
quickSort,9000000,10000,uniform,True,21.631269216537476
mergeSort,9000000,10000,uniform,True,26.851713180541992
binarySort,9000000,10000,uniform,True,7.436745882034302
quickSort,10000000,10000,uniform,True,25.753897428512573
mergeSort,10000000,10000,uniform,True,30.6121666431427
binarySort,10000000,10000,uniform,True,8.382445096969604
quickSort,1000000,50000,uniform,True,1.9609575271606445
mergeSort,1000000,50000,uniform,True,2.2705578804016113
binarySort,1000000,50000,uniform,True,0.7490115165710449
quickSort,2000000,50000,uniform,True,4.4636070728302
mergeSort,2000000,50000,uniform,True,5.184321880340576
binarySort,2000000,50000,uniform,True,1.731947660446167
quickSort,3000000,50000,uniform,True,7.085045337677002
mergeSort,3000000,50000,uniform,True,7.889791250228882
binarySort,3000000,50000,uniform,True,2.6489474773406982
quickSort,4000000,50000,uniform,True,10.74863314628601
mergeSort,4000000,50000,uniform,True,11.25473403930664
binarySort,4000000,50000,uniform,True,3.5544557571411133
quickSort,5000000,50000,uniform,True,12.624085903167725
mergeSort,5000000,50000,uniform,True,14.116173267364502
binarySort,5000000,50000,uniform,True,4.56195592880249
quickSort,6000000,50000,uniform,True,15.943269491195679
mergeSort,6000000,50000,uniform,True,17.494237899780273
binarySort,6000000,50000,uniform,True,5.51092267036438
quickSort,7000000,50000,uniform,True,20.12724781036377
mergeSort,7000000,50000,uniform,True,21.37571144104004
binarySort,7000000,50000,uniform,True,6.64043402671814
quickSort,8000000,50000,uniform,True,23.713411808013916
mergeSort,8000000,50000,uniform,True,24.07096576690674
binarySort,8000000,50000,uniform,True,7.618009328842163
quickSort,9000000,50000,uniform,True,24.87152886390686
mergeSort,9000000,50000,uniform,True,27.646162271499634
binarySort,9000000,50000,uniform,True,8.45198130607605
quickSort,10000000,50000,uniform,True,30.390681505203247
mergeSort,10000000,50000,uniform,True,30.515248775482178
binarySort,10000000,50000,uniform,True,9.476176261901855
quickSort,1000000,100000,uniform,True,2.1121158599853516
mergeSort,1000000,100000,uniform,True,2.272704601287842
binarySort,1000000,100000,uniform,True,0.7954638004302979
quickSort,2000000,100000,uniform,True,4.601762294769287
mergeSort,2000000,100000,uniform,True,4.9500572681427
binarySort,2000000,100000,uniform,True,1.7969694137573242
