method,size,range,distribution,ordered,time
binarySort,1000000,10000,uniform,True,1.4254107475280762
quickSort,1000000,10000,uniform,True,2.8380541801452637
mergeSort,1000000,10000,uniform,True,4.305238962173462
binarySort,2000000,10000,uniform,True,4.216260194778442
quickSort,2000000,10000,uniform,True,6.324756383895874
mergeSort,2000000,10000,uniform,True,7.939263343811035
binarySort,3000000,10000,uniform,True,5.7503368854522705
quickSort,3000000,10000,uniform,True,10.016035318374634
mergeSort,3000000,10000,uniform,True,11.173389673233032
binarySort,4000000,10000,uniform,True,7.8417582511901855
quickSort,4000000,10000,uniform,True,12.84754490852356
mergeSort,4000000,10000,uniform,True,15.745956182479858
binarySort,5000000,10000,uniform,True,10.045595645904541
quickSort,5000000,10000,uniform,True,16.595689296722412
mergeSort,5000000,10000,uniform,True,20.43734622001648
binarySort,6000000,10000,uniform,True,12.84625792503357
quickSort,6000000,10000,uniform,True,21.037076950073242
mergeSort,6000000,10000,uniform,True,25.94110107421875
binarySort,7000000,10000,uniform,True,15.46727466583252
quickSort,7000000,10000,uniform,True,25.751267671585083
mergeSort,7000000,10000,uniform,True,31.89390730857849
binarySort,8000000,10000,uniform,True,18.143370628356934
quickSort,8000000,10000,uniform,True,31.266386032104492
mergeSort,8000000,10000,uniform,True,36.93774771690369
binarySort,9000000,10000,uniform,True,20.781203985214233
quickSort,9000000,10000,uniform,True,34.83847236633301
mergeSort,9000000,10000,uniform,True,42.27332854270935
binarySort,10000000,10000,uniform,True,22.94780683517456
quickSort,10000000,10000,uniform,True,38.58718657493591
mergeSort,10000000,10000,uniform,True,47.74974989891052
binarySort,11000000,10000,uniform,True,25.894702911376953
quickSort,11000000,10000,uniform,True,42.68320989608765
mergeSort,11000000,10000,uniform,True,54.29519963264465
binarySort,12000000,10000,uniform,True,29.90156650543213
quickSort,12000000,10000,uniform,True,48.34521698951721
mergeSort,12000000,10000,uniform,True,61.11888122558594
binarySort,13000000,10000,uniform,True,32.40464687347412
quickSort,1000000,20000,uniform,True,2.6725857257843018
quickSort,13000000,10000,uniform,True,54.96236991882324
binarySort,1000000,20000,uniform,True,1.7142674922943115
mergeSort,1000000,20000,uniform,True,3.772199869155884
quickSort,2000000,20000,uniform,True,6.741844177246094
mergeSort,2000000,20000,uniform,True,8.868684768676758
binarySort,2000000,20000,uniform,True,4.132258892059326
mergeSort,13000000,10000,uniform,True,67.24514031410217
binarySort,3000000,20000,uniform,True,7.201451778411865
quickSort,3000000,20000,uniform,True,11.77427864074707
binarySort,14000000,10000,uniform,True,35.193565368652344
mergeSort,3000000,20000,uniform,True,14.174416065216064
quickSort,14000000,10000,uniform,True,61.473477602005005
binarySort,4000000,20000,uniform,True,9.251952171325684
quickSort,4000000,20000,uniform,True,15.447474718093872
mergeSort,4000000,20000,uniform,True,19.046213626861572
mergeSort,14000000,10000,uniform,True,74.65052103996277
binarySort,5000000,20000,uniform,True,11.667903661727905
quickSort,5000000,20000,uniform,True,19.763296842575073
mergeSort,5000000,20000,uniform,True,24.167932987213135
binarySort,6000000,20000,uniform,True,14.093745470046997
quickSort,6000000,20000,uniform,True,23.911672830581665
mergeSort,6000000,20000,uniform,True,30.713317155838013
binarySort,7000000,20000,uniform,True,19.016974449157715
quickSort,7000000,20000,uniform,True,31.39715838432312
mergeSort,7000000,20000,uniform,True,38.835870027542114
binarySort,8000000,20000,uniform,True,22.634791135787964
quickSort,8000000,20000,uniform,True,39.3287456035614
mergeSort,8000000,20000,uniform,True,45.43851709365845
binarySort,9000000,20000,uniform,True,24.468888759613037
quickSort,9000000,20000,uniform,True,42.951822996139526
mergeSort,9000000,20000,uniform,True,50.31068181991577
binarySort,10000000,20000,uniform,True,26.97470784187317
quickSort,10000000,20000,uniform,True,48.06078338623047
mergeSort,10000000,20000,uniform,True,55.8916962146759
binarySort,11000000,20000,uniform,True,29.935099840164185
quickSort,11000000,20000,uniform,True,53.02317476272583
mergeSort,11000000,20000,uniform,True,61.285056829452515
binarySort,12000000,20000,uniform,True,33.068063259124756
quickSort,12000000,20000,uniform,True,58.49877333641052
mergeSort,12000000,20000,uniform,True,68.46109533309937
binarySort,13000000,20000,uniform,True,36.84949064254761
